low,high,no_vac,partial_vac,all_vac,nZDkids,ndistricts,nkids
0.0,0.1,0.45614035087719296,0.456140350877193,0.08771929824561403,26,2,57
0.1,0.2,0.34415584415584416,0.49350649350649356,0.16233766233766234,53,6,154
0.19999999999999998,0.3,0.2375,0.49999999999999994,0.2625,57,12,240
0.30000000000000004,0.4,0.16929133858267717,0.4868766404199475,0.3438320209973753,129,37,762
0.4,0.5,0.0979909799097991,0.44813448134481343,0.45387453874538747,239,106,2439
0.5,0.6,0.06593406593406594,0.3704866562009419,0.5635792778649922,168,109,2548
0.6,0.7,0.04282596835788325,0.309328968903437,0.6478450627386798,157,152,3666
0.7000000000000001,0.8,0.021865889212827987,0.23129251700680276,0.7468415937803693,45,103,2058
0.8,0.9,0.02122641509433962,0.13050314465408808,0.8482704402515723,27,74,1272
0.9,1.0,0.00684931506849315,0.05308219178082185,0.940068493150685,4,38,584
