country,mode,model,mean_train_f1,mean_train_accuracy,mean_train_roc_auc,mean_train_specificity,mean_train_sensitivity,tp,tn,fp,fn,roc,sensitivity,specificity,f1,accuracy,best_params,is_SMOTE,refit
IA2020,sparse,Ridge,0.980452434,0.961654434,0.656872749,0,1,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 1e-08},no,accuracy
IA2020,sparse,Decision Tree,0.980487191,0.961725381,0.635754549,0.002777778,0.999963113,11673,1,424,1,0.50113364,0.99991434,0.002352941,0.982121072,0.96487313,{'criterion': 'gini'},no,accuracy
IA2020,sparse,Nearest Neighbor,0.980452434,0.961654434,0.561250679,0,1,11652,8,417,22,0.5084695,0.99811547,0.018823529,0.98151034,0.96371601,{'n_neighbors': 8},no,accuracy
IA2020,sparse,MLP,0.980452434,0.961654434,0.652250978,0,1,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 0.0001},no,accuracy
IA2020,sparse+contextual,Ridge,0.980452434,0.961654434,0.652104075,0,1,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 1e-08},no,accuracy
IA2020,sparse+contextual,Decision Tree,0.960578152,0.924408466,0.520743738,0.088820618,0.957727776,11214,46,379,460,0.534415745,0.960596197,0.108235294,0.963940345,0.930655426,{'criterion': 'entropy'},no,accuracy
IA2020,sparse+contextual,Nearest Neighbor,0.980189873,0.961157848,0.568146515,0.005547022,0.999262265,11666,5,420,8,0.505539711,0.999314716,0.011764706,0.981986532,0.964625176,{'n_neighbors': 8},no,accuracy
IA2020,sparse+contextual,MLP,0.980484397,0.961725381,0.605647321,0.006481481,0.999815566,11671,1,424,3,0.50104798,0.999743019,0.002352941,0.982035424,0.964707827,{'alpha': 0.05},no,accuracy
IA2020,all,Ridge,0.980452434,0.961654434,0.656580826,0,1,11674,0,425,0,0.5,1,0,0.982122576,0.96487313,{'alpha': 1e-08},no,accuracy
IA2020,all,Decision Tree,0.959138775,0.921748049,0.520970092,0.086047107,0.955071929,11152,40,385,522,0.524701448,0.955285249,0.094117647,0.9609237,0.925035127,{'criterion': 'entropy'},no,accuracy
